"","Year","Name","Height","Weight","Hand_Size","Arm_Length","Forty_Yard","Vertical_Leap","Broad_Jump","Shuttle","Three_Cone","NFL_QBR","Conference","Games","Completions","Attempts","Completion_Percentage","Yards","Y.A","TD","INT","College_QBR","Rush_Attempts","Rushing_Yds","Rushing_Avg","Rushing_Td","Rank","Power_Five"
"1",1986,"Cody Carlson",75,191,9.25,31,4.82,29.5,111,4.45,NA,70,"SWC",11,157,287,0.55,2284,8,10,14,123.3,107,356,21.3,3,NA,FALSE
"2",1986,"Shawn Halloran",76.3,217,10.25,31.25,5.14,23.5,94,4.53,NA,54,"Ind",11,159,258,0.62,2090,8.1,17,6,146.8,44,-40,47.5,0,NA,FALSE
"3",1986,"Kelly Stouffer",75,212,NA,NA,4.95,28,108,4.51,NA,54.5,"WAC",11,205,374,0.55,2604,7,7,14,112,56,-214,46.5,1,NA,FALSE
"6",1986,"Vinny Testaverde",76.3,213,10,33.5,4.75,NA,NA,NA,NA,75,"Ind",11,175,276,0.63,2557,9.3,26,9,165.8,46,-103,55.6,4,NA,FALSE
"7",1986,"Jim Harbaugh",74.3,203,9.75,31.25,NA,NA,NA,NA,NA,77.6,"Big Ten",13,180,277,0.65,2729,9.9,10,11,151.7,94,118,29,8,NA,FALSE
"10",1986,"Steve Beuerlein",74.4,203,10,30,5.1,23,93,4.63,NA,80.3,"Ind",11,151,259,0.58,2211,8.5,13,7,141.2,53,35,41.7,1,NA,FALSE
"11",1986,"Chris Miller",73.4,190,NA,NA,4.74,30.5,117,4.35,NA,74.9,"Pac-10",11,216,356,0.61,2503,7,12,13,123.6,74,46,33.8,2,NA,TRUE
"12",1986,"Don Majkowski",73.5,199,9,32.25,4.83,34,116,4.13,NA,72.9,"ACC",9,104,199,0.52,1375,6.9,7,12,109.8,66,102,20.8,1,NA,TRUE
"13",1987,"Kerwin Bell",74.1,200,9.5,NA,5.07,28.5,102,4.63,NA,214.6,"SEC",20,271,481,0.56,3284,6.8,19,20,118.4,79,-332,-4.2,2,NA,TRUE
"14",1987,"Rick Strom",74.3,203,9.25,NA,4.72,31,108,4.39,NA,66.9,"ACC",10,87,167,0.52,1011,6.1,5,6,105.6,73,133,13.8,2,NA,TRUE
"16",1987,"Chris Chandler",75.9,211,9.25,NA,4.87,30,102,4.4,NA,80,"Pac-10",22,288,524,0.55,3733,7.1,29,24,123.9,104,249,2.4,7,NA,TRUE
"17",1988,"Anthony Dilweg",75.4,199,NA,NA,4.78,28,102,4.37,NA,72.3,"ACC",11,287,484,0.59,3824,7.9,24,18,134.6,55,-111,69.5,2,NA,TRUE
"18",1988,"Erik Wilhelm",74.8,209,NA,NA,5.18,26,101,4.21,NA,71.1,"Pac-10",33,784,1335,0.59,8503,6.4,43,47,115.8,186,-299,-1.6,3,NA,TRUE
"21",1988,"Todd Philcox",76,213,NA,NA,5.12,27.5,100,4.43,NA,57.4,"Ind",11,141,234,0.6,2076,8.9,16,11,147.9,73,1,28.4,0,NA,FALSE
"22",1988,"Jeff Francis",75.5,218,NA,NA,4.9,29.5,102,4.51,NA,139.6,"SEC",34,462,748,0.62,5695,7.6,30,25,132.3,178,31,0.2,3,NA,TRUE
"23",1988,"Billy Joe Tolliver",72.6,217,NA,NA,5.09,28.5,96,4.42,NA,66.6,"SWC",34,432,883,0.49,5893,6.7,31,37,108.2,108,-284,-2.6,4,NA,FALSE
"24",1988,"Mike Elkins",75.3,221,NA,NA,5.02,29.5,97,4.5,NA,-154.2,"ACC",32,539,977,0.55,6661,6.8,38,44,116.3,121,-118,-1,3,NA,TRUE
"26",1989,"Troy Taylor",75.4,201,9.63,29.38,4.73,33.5,116,4.13,NA,90.6,"Pac-10",33,591,1002,0.59,7235,7.2,50,38,128.5,272,165,0.6,1,NA,TRUE
"29",1989,"Neil O'Donnell",74.3,217,9.13,31.25,4.89,32.5,109,4.03,NA,81.8,"ACC",22,316,547,0.58,4076,7.5,22,15,128.2,171,122,0.7,3,NA,TRUE
"30",1989,"Cary Conklin",76,215,9.25,31,4.96,26.5,109,4.56,NA,72.2,"Pac-10",22,361,667,0.54,4402,6.6,27,29,114.2,149,49,0.3,4,NA,TRUE
"31",1990,"Paul Justin",75.8,202,10.25,32,5.04,27.5,104,4.36,NA,75,"Pac-10",22,314,567,0.55,4467,7.9,27,20,130.2,57,-202,-3.5,2,NA,TRUE
