Name,School,Conference,Games,Completions,Attempts,Completion_Percentage,Yards,Y/A,TD,INT,College_QBR,Rush_Attempts,Rushing_Yds,Rushing_Avg,Rushing_Td
Cade McNown,Pac-10,12,189,312,60.6,3116,10.0,24,6,166.0,79,26,0.3,4
Ryan Leaf,Pac-10,12,227,410,55.4,3968,9.7,34,11,158.7,82,-48,-0.6,6
John Dutton,Big West,11,225,367,61.3,3526,9.6,20,6,156.7,44,-4,-0.1,1
Donovan McNabb,Big East,12,145,265,54.7,2488,9.4,20,6,154.0,110,404,3.7,6
Mike Bobo,SEC,12,199,306,65.0,2751,9.0,19,8,155.8,40,-70,-1.8,1
Moses Moreno,WAC,12,157,257,61.1,2257,8.8,20,9,153.5,56,-97,-1.7,1
Brock Huard,Pac-10,10,146,244,59.8,2140,8.8,23,10,156.4,31,-82,-2.6,1
Joe Germaine,Big Ten,13,129,210,61.4,1847,8.8,16,9,151.9,32,-132,-4.1,0
Mike McQueary,Big Ten,12,146,255,57.3,2211,8.7,17,9,145.0,53,-27,-0.5,1
Corby Jones,Big 12,11,102,191,53.4,1658,8.7,12,6,140.8,183,887,4.8,14
Jason Maas,Pac-10,10,104,187,55.6,1631,8.7,18,8,152.1,36,68,1.9,1
Joe Hamilton,ACC,11,173,268,64.6,2314,8.6,12,7,146.6,140,478,3.4,5
Thad Busby,ACC,11,235,390,60.3,3317,8.5,25,10,147.7,57,-16,-0.3,2
Aaron Brooks,ACC,11,164,270,60.7,2282,8.5,20,7,151.0,85,255,3.0,5
Graham Leigh,WAC,12,166,276,60.1,2318,8.4,24,8,153.6,135,528,3.9,8
Michael Bishop,Big 12,11,80,185,43.2,1557,8.4,13,8,128.5,147,566,3.9,9
Tim Rattay,Ind,11,293,477,61.4,3881,8.1,34,10,149.1,64,87,1.4,1
Chad Pennington,MAC,13,276,473,58.4,3817,8.1,42,12,150.4,57,-50,-0.9,1
Dameyune Craig,SEC,12,216,403,53.6,3277,8.1,18,13,130.2,96,0,0.0,4
Daunte Culpepper,Ind,11,238,381,62.5,3086,8.1,25,10,146.9,136,438,3.2,5
Tim Lester,MAC,10,154,268,57.5,2160,8.1,17,11,137.9,56,-102,-1.8,0
Peyton Manning,SEC,12,287,477,60.2,3819,8.0,36,11,147.7,49,-30,-0.6,3
Chris Keldorf,ACC,11,104,181,57.5,1448,8.0,12,9,136.6,26,-108,-4.2,1
Jamie Barnette,ACC,11,171,302,56.6,2378,7.9,19,14,134.3,77,78,1.0,3
Ryan Clement,Big East,11,157,267,58.8,2089,7.8,10,11,128.6,44,-120,-2.7,3
John Fitzgerald,WAC,11,139,256,54.3,2003,7.8,9,13,121.5,42,76,1.8,1
Billy Dicken,Big Ten,12,224,407,55.0,3136,7.7,21,16,128.9,97,351,3.6,6
Matt Sauk,Big West,11,190,378,50.3,2896,7.7,16,10,123.3,64,2,0.0,6
Pete Gonzalez,Big East,11,198,345,57.4,2657,7.7,30,7,146.7,91,169,1.9,3
Pat Bonner,Big East,10,107,202,53.0,1561,7.7,7,12,117.4,51,-17,-0.3,1
Al Clark,Big East,10,110,192,57.3,1477,7.7,10,3,136.0,94,347,3.7,3
Charlie Batch,MAC,11,247,434,56.9,3280,7.6,23,11,132.8,85,110,1.3,1
Stewart Patridge,SEC,11,228,352,64.8,2667,7.6,12,7,135.7,56,-108,-1.9,1
Sam Ricketts,MAC,11,188,324,58.0,2466,7.6,16,10,132.1,76,273,3.6,3
Marc Bulger,Big East,12,192,323,59.4,2465,7.6,14,10,131.7,52,-93,-1.8,2
Nealon Greene,ACC,12,180,290,62.1,2212,7.6,16,9,138.1,115,345,3.0,1
Herb Tyler,SEC,11,127,209,60.8,1581,7.6,10,7,133.4,96,279,2.9,7
Doug Johnson,SEC,9,148,269,55.0,2023,7.5,21,12,135.0,38,-185,-4.9,1
Mike Samuel,Big Ten,13,141,254,55.5,1896,7.5,8,13,118.4,129,242,1.9,8
Oscar Davenport,ACC,11,115,183,62.8,1380,7.5,7,3,135.5,49,12,0.2,2
Jose Davis,MAC,10,194,365,53.2,2707,7.4,32,14,136.7,50,176,3.5,3
Brian Griese,Big Ten,11,175,277,63.2,2042,7.4,14,5,138.2,51,7,0.1,2
John Hessler,Big 12,11,181,338,53.6,2478,7.3,14,16,119.3,75,188,2.5,5
Matt Hasselbeck,Big East,10,188,305,61.6,2239,7.3,11,10,128.6,71,24,0.3,1
Lee Jolly,Ind,10,108,209,51.7,1530,7.3,11,7,123.8,80,8,0.1,1
Branndon Stewart,Big 12,12,111,196,56.6,1429,7.3,10,4,130.6,42,-69,-1.6,2
Josh Skinner,WAC,10,109,195,55.9,1416,7.3,3,13,108.6,58,-31,-0.5,2
Ryan Kealy,Pac-10,11,162,297,54.5,2137,7.2,15,7,126.9,52,-201,-3.9,0
Jonathan Crosswhite,WAC,9,130,222,58.6,1588,7.2,9,9,123.9,47,-109,-2.3,1
Jake Josetti,MAC,11,106,217,48.8,1569,7.2,13,14,116.4,112,157,1.4,3
Tim Couch,SEC,11,363,547,66.4,3884,7.1,37,19,141.4,66,-125,-1.9,3
Shaun King,CUSA,11,199,363,54.8,2567,7.1,24,14,128.3,124,511,4.1,5
Bernard Oden,CUSA,11,170,316,53.8,2249,7.1,12,9,120.4,129,81,0.6,8
Ortege Jenkins,Pac-10,10,115,235,48.9,1669,7.1,19,5,131.0,65,53,0.8,2
Justin Vedder,Pac-10,11,221,390,56.7,2718,7.0,20,14,125.0,99,25,0.3,0
Brian Brennan,Big West,10,218,387,56.3,2708,7.0,19,5,128.7,46,-36,-0.8,1
Brian Kuklick,ACC,9,190,312,60.9,2180,7.0,15,11,128.4,51,-48,-0.9,1
Ron Powlus,Ind,12,182,298,61.1,2078,7.0,9,7,124.9,46,-49,-1.1,0
