Player,School,Conference,Games,CMP,Att,Pct,Yds,Y/A,TD,INT,QBR,RAtt,RYds,RAvg,RTd
Cade McNown*,UCLA,Pac-10,12,189,312,60.6,3116,10.0,24,6,166.0,79,26,0.3,4
Ryan Leaf*,Washington State,Pac-10,12,227,410,55.4,3968,9.7,34,11,158.7,82,-48,-0.6,6
John Dutton,Nevada,Big West,11,225,367,61.3,3526,9.6,20,6,156.7,44,-4,-0.1,1
Donovan McNabb,Syracuse,Big East,12,145,265,54.7,2488,9.4,20,6,154.0,110,404,3.7,6
Mike Bobo,Georgia,SEC,12,199,306,65.0,2751,9.0,19,8,155.8,40,-70,-1.8,1
Moses Moreno,Colorado State,WAC,12,157,257,61.1,2257,8.8,20,9,153.5,56,-97,-1.7,1
Brock Huard,Washington,Pac-10,10,146,244,59.8,2140,8.8,23,10,156.4,31,-82,-2.6,1
Joe Germaine*,Ohio State,Big Ten,13,129,210,61.4,1847,8.8,16,9,151.9,32,-132,-4.1,0
Mike McQueary,Penn State,Big Ten,12,146,255,57.3,2211,8.7,17,9,145.0,53,-27,-0.5,1
Corby Jones,Missouri,Big 12,11,102,191,53.4,1658,8.7,12,6,140.8,183,887,4.8,14
Jason Maas*,Oregon,Pac-10,10,104,187,55.6,1631,8.7,18,8,152.1,36,68,1.9,1
Joe Hamilton,Georgia Tech,ACC,11,173,268,64.6,2314,8.6,12,7,146.6,140,478,3.4,5
Thad Busby,Florida State,ACC,11,235,390,60.3,3317,8.5,25,10,147.7,57,-16,-0.3,2
Aaron Brooks,Virginia,ACC,11,164,270,60.7,2282,8.5,20,7,151.0,85,255,3.0,5
Graham Leigh,New Mexico,WAC,12,166,276,60.1,2318,8.4,24,8,153.6,135,528,3.9,8
Michael Bishop,Kansas State,Big 12,11,80,185,43.2,1557,8.4,13,8,128.5,147,566,3.9,9
