Year,Rank,School
1997,1,Michigan
1997,2,Nebraska
1997,3,Florida State
1997,4,Florida
1997,5,UCLA
1997,6,North Carolina
1997,7,Tennessee
1997,8,Kansas State
1997,9,Washington State
1997,10,Georgia
1997,11,Auburn
1997,12,Ohio State
1997,13,LSU
1997,14,Arizona State
1997,15,Purdue
1997,16,Penn State
1997,17,Colorado State
1997,18,Washington
1997,19,Southern Mississippi
1997,20,Texas A&M
1997,21,Syracuse
1997,22,Ole Miss
1997,23,Missouri
1997,24,Oklahoma State
1997,25,Georgia Tech
1998,1,Tennessee
1998,2,Ohio State
1998,3,Florida State
1998,4,Arizona
1998,5,Florida
1998,6,Wisconsin
1998,7,Tulane
1998,8,UCLA
1998,9,Georgia Tech
1998,10,Kansas State
1998,11,Texas A&M
1998,12,Michigan
1998,13,Air Force
1998,14,Georgia
1998,15,Texas
1998,16,Arkansas
1998,17,Penn State
1998,18,Virginia
1998,19,Nebraska
1998,20,Miami (FL)
1998,21,Missouri
1998,22,Notre Dame
1998,23,Virginia Tech
1998,24,Purdue
1998,25,Syracuse
1999,1,Florida State
1999,2,Virginia Tech
1999,3,Nebraska
1999,4,Wisconsin
1999,5,Michigan
1999,6,Kansas State
1999,7,Michigan State
1999,8,Alabama
1999,9,Tennessee
1999,10,Marshall
1999,11,Penn State
1999,12,Florida
1999,13,Mississippi State
1999,14,Southern Mississippi
1999,15,Miami (FL)
1999,16,Georgia
1999,17,Arkansas
1999,18,Minnesota
1999,19,Oregon
1999,20,Georgia Tech
1999,21,Texas
1999,22,Ole Miss
1999,23,Texas A&M
1999,24,Illinois
1999,25,Purdue
2000,1,Oklahoma
2000,2,Miami (FL)
2000,3,Washington
2000,4,Oregon State
2000,5,Florida State
2000,6,Virginia Tech
2000,7,Oregon
2000,8,Nebraska
2000,9,Kansas State
2000,10,Florida
2000,11,Michigan
2000,12,Texas
2000,13,Purdue
2000,14,Colorado State
2000,15,Notre Dame
2000,16,Clemson
2000,17,Georgia Tech
2000,18,Auburn
2000,19,South Carolina
2000,20,Georgia
2000,21,Texas Christian
2000,22,LSU
2000,23,Wisconsin
2000,24,Mississippi State
2000,25,Iowa State
2001,1,Miami (FL)
2001,2,Oregon
2001,3,Florida
2001,4,Tennessee
2001,5,Texas
2001,6,Oklahoma
2001,7,LSU
2001,8,Nebraska
2001,9,Colorado
2001,10,Washington State
2001,11,Maryland
2001,12,Illinois
2001,13,South Carolina
2001,14,Syracuse
2001,15,Florida State
2001,16,Stanford
2001,17,Louisville
2001,18,Virginia Tech
2001,19,Washington
2001,20,Michigan
2001,21,Boston College
2001,22,Georgia
2001,23,Toledo
2001,24,Georgia Tech
2001,25,Brigham Young
2002,1,Ohio State
2002,2,Miami (FL)
2002,3,Georgia
2002,4,USC
2002,5,Oklahoma
2002,6,Texas
2002,7,Kansas State
2002,8,Iowa
2002,9,Michigan
2002,10,Washington State
2002,11,Alabama
2002,12,North Carolina State
2002,13,Maryland
2002,14,Auburn
2002,15,Boise State
2002,16,Penn State
2002,17,Notre Dame
2002,18,Virginia Tech
2002,19,Pitt
2002,20,Colorado
2002,21,Florida State
2002,22,Virginia
2002,23,Texas Christian
2002,24,Marshall
2002,25,West Virginia
2003,1,USC
2003,2,LSU
2003,3,Oklahoma
2003,4,Ohio State
2003,5,Miami (FL)
2003,6,Michigan
2003,7,Georgia
2003,8,Iowa
2003,9,Washington State
2003,10,Miami (OH)
2003,11,Florida State
2003,12,Texas
2003,13,Ole Miss
2003,14,Kansas State
2003,15,Tennessee
2003,16,Boise State
2003,17,Maryland
2003,18,Purdue
2003,19,Nebraska
2003,20,Minnesota
2003,21,Utah
2003,22,Clemson
2003,23,Bowling Green State
2003,24,Florida
2003,25,Texas Christian
2004,1,USC
2004,2,Auburn
2004,3,Oklahoma
2004,4,Utah
2004,5,Texas
2004,6,Louisville
2004,7,Georgia
2004,8,Iowa
2004,9,California
2004,10,Virginia Tech
2004,11,Miami (FL)
2004,12,Boise State
2004,13,Tennessee
2004,14,Michigan
2004,15,Florida State
2004,16,LSU
2004,17,Wisconsin
2004,18,Texas Tech
2004,19,Arizona State
2004,20,Ohio State
2004,21,Boston College
2004,22,Fresno State
2004,23,Virginia
2004,24,Navy
2004,25,Pitt
2005,1,Texas
2005,2,USC
2005,3,Penn State
2005,4,Ohio State
2005,5,West Virginia
2005,6,LSU
2005,7,Virginia Tech
2005,8,Alabama
2005,9,Notre Dame
2005,10,Georgia
2005,11,Texas Christian
2005,12,Florida
2005,12,Oregon
2005,14,Auburn
2005,15,Wisconsin
2005,16,UCLA
2005,17,Miami (FL)
2005,18,Boston College
2005,19,Louisville
2005,20,Texas Tech
