Player,School,Conference,QBR
Cade McNown,UCLA,Pac-10,166.0
Ryan Leaf,Washington State,Pac-10,158.7
John Dutton,Nevada,Big West,156.7
Donovan McNabb,Syracuse,Big East,154.0
Mike Bobo,Georgia,SEC,155.8
Moses Moreno,Colorado State,WAC,153.5
Brock Huard,Washington,Pac-10,156.4
Joe Germaine,Ohio State,Big Ten,151.9
Mike McQueary,Penn State,Big Ten,145.0
Corby Jones,Missouri,Big 12,140.8
Jason Maas,Oregon,Pac-10,152.1
Joe Hamilton,Georgia Tech,ACC,146.6
Thad Busby,Florida State,ACC,147.7
Aaron Brooks,Virginia,ACC,151.0
Graham Leigh,New Mexico,WAC,153.6
Michael Bishop,Kansas State,Big 12,128.5
Tim Rattay,Louisiana Tech,Ind,149.1
Chad Pennington,Marshall,MAC,150.4
Dameyune Craig,Auburn,SEC,130.2
Daunte Culpepper,UCF,Ind,146.9
Tim Lester,Western Michigan,MAC,137.9
Peyton Manning,Tennessee,SEC,147.7
Chris Keldorf,North Carolina,ACC,136.6
Jamie Barnette,North Carolina State,ACC,134.3
Ryan Clement,Miami (FL),Big East,128.6
John Fitzgerald,Tulsa,WAC,121.5
Billy Dicken,Purdue,Big Ten,128.9
Matt Sauk,Utah State,Big West,123.3
Pete Gonzalez,Pitt,Big East,146.7
Pat Bonner,Temple,Big East,117.4
Al Clark,Virginia Tech,Big East,136.0
Charlie Batch,Eastern Michigan,MAC,132.8
Stewart Patridge,Ole Miss,SEC,135.7
Sam Ricketts,Miami (OH),MAC,132.1
Marc Bulger,West Virginia,Big East,131.7
Nealon Greene,Clemson,ACC,138.1
Herb Tyler,LSU,SEC,133.4
Doug Johnson,Florida,SEC,135.0
Mike Samuel,Wisconsin,Big Ten,118.4
Oscar Davenport,North Carolina,ACC,135.5
Jose Davis,Kent State,MAC,136.7
Brian Griese,Michigan,Big Ten,138.2
John Hessler,Colorado,Big 12,119.3
Matt Hasselbeck,Boston College,Big East,128.6
Lee Jolly,UAB,Ind,123.8
Branndon Stewart,Texas A&M,Big 12,130.6
Josh Skinner,Hawaii,WAC,108.6
Ryan Kealy,Arizona State,Pac-10,126.9
Jonathan Crosswhite,Utah,WAC,123.9
Jake Josetti,Ball State,MAC,116.4
Tim Couch,Kentucky,SEC,141.4
Shaun King,Tulane,CUSA,128.3
Bernard Oden,Memphis,CUSA,120.4
Ortege Jenkins,Arizona,Pac-10,131.0
Justin Vedder,California,Pac-10,125.0
Brian Brennan,Idaho,Big West,128.7
Brian Kuklick,Wake Forest,ACC,128.4
Ron Powlus,Notre Dame,Ind,124.9
Chris Redman,Louisville,CUSA,123.8
Jon Denton,UNLV,WAC,118.1
Tim Crowley,Central Michigan,MAC,108.9
John Fox,USC,Pac-10,121.3
Tim Hughes,Northwestern,Big Ten,119.5
Brian Cummings,Maryland,ACC,126.6
Akili Smith,Oregon,Pac-10,126.6
Chris Wallace,Toledo,MAC,127.3
Jason Mills,North Texas,Big West,119.2
Matt Wyatt,Mississippi State,SEC,97.9
Todd Bandhauer,Iowa State,Big 12,117.4
Chad Hutchinson,Stanford,Pac-10,120.2
Todd Schultz,Michigan State,Big Ten,124.0
Bob Niemet,Bowling Green State,MAC,112.6
Anthony Wright,South Carolina,SEC,130.9
Cory Sauter,Minnesota,Big Ten,114.0
Clint Stoerner,Arkansas,SEC,107.5
Ty Houghtaling,New Mexico State,Big West,110.9
Jay Rodgers,Indiana,Big Ten,110.6
Freddie Kitchens,Alabama,SEC,117.8
Lee Roberts,Southern Mississippi,CUSA,119.3
Jay Stoner,Wyoming,WAC,105.1
James Brown,Texas,Big 12,100.5
Daniel Jeremiah,Louisiana-Monroe,Ind,112.4
Dan O'Dell,San Jose State,WAC,113.8
Zebbie Lethridge,Texas Tech,Big 12,108.1
Chad Plummer,Cincinnati,CUSA,97.7
Jason McKinley,Houston,CUSA,106.4
Jeff Watson,Baylor,Big 12,105.3
Brian Vye,San Jose State,WAC,99.5
Mike McMahon,Rutgers,Big East,97.0
Dan Gonzalez,East Carolina,CUSA,115.2
Billy Volek,Fresno State,WAC,118.8
Damian Allen,Vanderbilt,SEC,93.3
Tim Alexander,Oregon State,Pac-10,90.3
Jeff Dover,Texas Christian,WAC,97.9
Bobby Campbell,Duke,ACC,84.8
Akili Smith,Oregon,Pac-10,167.3
Cade McNown,UCLA,Pac-10,156.6
Shaun King,Tulane,CUSA,178.7
Michael Bishop,Kansas State,Big 12,158.9
David Neill,Nevada,Big West,159.8
Jarious Jackson,Notre Dame,Ind,149.5
Daunte Culpepper,UCF,Ind,170.2
Major Applewhite,Texas,Big 12,147.4
Tim Rattay,Louisiana Tech,Ind,164.8
Joe Germaine,Ohio State,Big Ten,150.6
Chris Weinke,Florida State,ACC,141.5
Marc Bulger,West Virginia,Big East,157.3
Quincy Carter,Georgia,SEC,140.1
Doug Johnson,Florida,SEC,145.2
Chris Redman,Louisville,CUSA,151.0
Scott Covington,Miami (FL),Big East,147.8
Donovan McNabb,Syracuse,Big East,158.9
Chad Pennington,Marshall,MAC,152.9
Jamie Barnette,North Carolina State,ACC,131.7
Clint Stoerner,Arkansas,SEC,146.7
Joe Hamilton,Georgia Tech,ACC,141.7
Ryan Kealy,Arizona State,Pac-10,144.1
Tim Lester,Western Michigan,MAC,136.6
Lee Roberts,Southern Mississippi,CUSA,143.8
David Garrard,East Carolina,CUSA,143.1
Kevin Feterik,Brigham Young,WAC,140.2
Tee Martin,Tennessee,SEC,144.4
Herb Tyler,LSU,SEC,147.2
Aaron Brooks,Virginia,ACC,128.4
Mike McMahon,Rutgers,Big East,121.6
Scott Mutryn,Boston College,Big East,131.1
Tim Couch,Kentucky,SEC,153.3
Andrew Zow,Alabama,SEC,129.2
Wayne Madkin,Mississippi State,SEC,122.1
Mike Moschetti,Colorado,Big 12,135.6
Deontey Kenner,Cincinnati,CUSA,116.2
Billy Volek,Fresno State,WAC,131.7
John Welsh,Idaho,Big West,126.8
Walter Church,Eastern Michigan,MAC,128.0
Tom Brady,Michigan,Big Ten,133.1
Jay Stoner,Wyoming,WAC,126.1
Carson Palmer,USC,Pac-10,122.8
Kevin Thompson,Penn State,Big Ten,118.1
Tony Lindsay,Oklahoma State,Big 12,117.0
Jonathan Crosswhite,Utah,WAC,126.1
Zac Wegner,Kansas,Big 12,116.6
Bill Burke,Michigan State,Big Ten,127.3
Mike Bath,Miami (OH),MAC,123.3
Corby Jones,Missouri,Big 12,120.4
Ryan Eslinger,Colorado State,WAC,128.2
Steve Birnbaum,Washington State,Pac-10,107.5
Drew Brees,Purdue,Big Ten,137.8
Cleo Lemon,Arkansas State,Ind,113.1
Romaro Miller,Ole Miss,SEC,119.4
Anthony Wright,South Carolina,SEC,116.3
Todd Husak,Stanford,Pac-10,119.6
Graham Leigh,New Mexico,WAC,117.7
Andre Vige,Louisiana-Monroe,Ind,119.5
Brandon Streeter,Clemson,ACC,116.5
Rob Peters,Texas Tech,Big 12,122.6
Brian Kuklick,Wake Forest,ACC,114.5
Gavin Hoffman,Northwestern,Big Ten,116.3
Matt Lytle,Pitt,Big East,117.5
Ty Houghtaling,New Mexico State,Big West,121.7
Chris Kasteler,San Jose State,WAC,120.8
Jermaine Alfred,Baylor,Big 12,104.3
Oscar Davenport,North Carolina,ACC,121.9
James Washington,Akron,MAC,108.3
Jose Davis,Kent State,MAC,112.4
Bart Hendricks,Boise State,Big West,119.0
Antwaan Randle El,Indiana,Big Ten,99.4
John Rayborn,UTEP,WAC,118.0
Billy Cockerham,Minnesota,Big Ten,111.6
Jason McKinley,Houston,CUSA,118.2
Brian Russell,San Diego State,WAC,111.4
Chris Wallace,Toledo,MAC,116.8
Todd Bandhauer,Iowa State,Big 12,104.4
Pete Shepherd,Central Michigan,MAC,96.2
Gabe Gross,Auburn,SEC,96.3
Dan Robinson,Hawaii,WAC,100.7
Brock Huard,Washington,Pac-10,112.7
Justin Vedder,California,Pac-10,107.6
Bobby Campbell,Duke,ACC,99.8
Chris Sanders,SMU,WAC,106.6
Clay Walters,Ball State,MAC,98.0
Michael Vick,Virginia Tech,Big East,171.1
Joe Hamilton,Georgia Tech,ACC,175.0
Chad Pennington,Marshall,MAC,171.4
Jonathan Beasley,Kansas State,Big 12,134.9
Jarious Jackson,Notre Dame,Ind,140.3
Todd Husak,Stanford,Pac-10,142.6
Mike Bath,Miami (OH),MAC,136.7
Jay Stuckey,UTEP,WAC,146.5
Jay Stoner,Wyoming,MWC,136.7
