Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2017,C.J. Beathard,Iowa,QB,74.13,219,9.38,30.63,26,9.99,,31,113,,,
2017,Joshua Dobbs,Tennessee,QB,75.25,216,9.25,32.63,29,4.64,,33,122,4.31,6.75,
2017,Jerod Evans,Virginia Tech,QB,74.63,232,9.38,33.13,21,4.8,,26.5,112,4.41,9.99,
2017,Brad Kaaya,Miami (FL),QB,75.75,214,9.75,32,34,9.99,,,,9.99,9.99,
2017,Chad Kelly,Mississippi,QB,74,224,,,22,9.99,,,,4.08,9.99,
2017,DeShone Kizer,Notre Dame,QB,76.13,233,9.88,33.13,28,4.83,,30.5,107,4.53,7.4,
2017,Mitch Leidner,Minnesota,QB,75.38,226,10,33.75,,4.93,,34.5,123,4.25,6.96,
2017,Sefo Liufau,Colorado,QB,75.38,232,10.75,33.5,,5.08,,27,105,4.45,7.32,
2017,Patrick Mahomes,Texas Tech,QB,74.13,225,9.25,33.25,24,4.8,,30,114,4.08,6.88,
2017,Nathan Peterman,Pittsburgh,QB,74.63,226,9.88,32,33,4.82,,31,110,4.31,7.14,
2017,Antonio Pipkin,Tiffin (OH),QB,73,225,10,32.25,,9.99,,,,9.99,9.99,
2017,Cooper Rush,Central Michigan,QB,74.63,228,9.13,32.38,,4.93,,27,105,4.47,7.23,
2017,Seth Russell,Baylor,QB,74.88,213,9.63,32.25,,9.99,,,,9.99,9.99,
2017,Alek Torgersen,Pennsylvania,QB,75,230,,,,9.99,,,,4.31,9.99,
2017,Mitchell Trubisky,North Carolina,QB,74.13,222,9.5,32,25,4.67,,27.5,116,4.25,6.87,
2017,Deshaun Watson,Clemson,QB,74.13,221,9.75,33,20,4.66,,32.5,119,4.31,6.95,
2017,Davis Webb,California,QB,77,229,9.25,33.13,25,4.79,,33,118,9.99,6.92,
