Name,QBR
Steve Young,112.8
Brett Favre,90.7
Dan Marino,89.2
John Elway,85.7
Troy Aikman,84.9
Jim Everett,84.9
Jim Kelly,84.6
Joe Montana,83.6
Jeff George,83.3
Craig Erickson,82.5
Stan Humphries,81.6
Jeff Hostetler,80.8
Warren Moon,79.9
Neil O'Donnell,78.9
Steve Walsh,77.9
Boomer Esiason,77.3
Jeff Blake,76.9
Randall Cunningham,74.4
Drew Bledsoe,73.6
Chris Miller,73.6
Dave Brown,72.5
Vinny Testaverde,70.7
Rick Mirer,70.2
Jay Schroeder,68.4
David Klingler,65.7
Billy Joe Tolliver,62.6
Scott Mitchell,62.0
Steve Beuerlein,61.6
Heath Shuler,59.6
Jim Harbaugh,100.7
Brett Favre,99.5
Troy Aikman,93.6
Erik Kramer,93.5
Scott Mitchell,92.3
Steve Young,92.3
Warren Moon,91.5
Dan Marino,90.8
Jeff George,89.5
Chris Chandler,87.8
Vinny Testaverde,87.8
Neil O'Donnell,87.7
Jim Everett,87.0
John Elway,86.4
Mark Brunell,82.6
Jeff Hostetler,82.2
Jeff Blake,82.1
Jim Kelly,81.1
Stan Humphries,80.4
Steve Bono,79.5
Chris Miller,76.2
Dave Brown,73.1
Dave Krieg,72.6
Boomer Esiason,71.4
Gus Frerotte,70.2
Rodney Peete,67.3
Drew Bledsoe,63.7
Rick Mirer,63.7
Kerry Collins,61.9
Trent Dilfer,60.1
Steve Young,97.2
Brett Favre,95.8
Brad Johnson,89.4
John Elway,89.2
Vinny Testaverde,88.7
Dan Marino,87.8
Mark Brunell,84.0
Drew Bledsoe,83.7
Jeff Hostetler,83.2
Ty Detmer,80.8
Jeff Blake,80.3
Troy Aikman,80.1
Chris Chandler,79.7
Kerry Collins,79.4
Gus Frerotte,79.3
Stan Humphries,76.7
Jim Harbaugh,76.3
Dave Krieg,76.3
Kent Graham,75.1
Scott Mitchell,74.9
Jim Kelly,73.2
Bobby Hebert,72.9
Mike Tomczak,71.8
Tony Banks,71.0
Boomer Esiason,70.6
Jim Everett,69.4
Frank Reich,68.9
Warren Moon,68.7
Steve Bono,68.0
Trent Dilfer,64.8
Dave Brown,61.3
Rick Mirer,56.6
Steve Young,104.7
Chris Chandler,95.1
Brett Favre,92.6
Mark Brunell,91.2
Jeff George,91.2
Drew Bledsoe,87.7
John Elway,87.5
Jim Harbaugh,86.2
Brad Johnson,84.5
Bobby Hoying,83.8
Warren Moon,83.7
Trent Dilfer,82.8
Dan Marino,80.7
Neil O'Donnell,80.3
Scott Mitchell,79.6
Elvis Grbac,79.1
Troy Aikman,78.0
Jeff Blake,77.6
Vinny Testaverde,75.9
Kordell Stewart,75.2
Erik Kramer,74.0
Ty Detmer,73.9
Gus Frerotte,73.8
Jake Plummer,73.1
Tony Banks,71.5
Stan Humphries,70.8
Danny Kanell,70.7
Steve McNair,70.4
Todd Collins,69.5
Kent Graham,65.9
Craig Whelihan,58.3
Kerry Collins,55.7
Randall Cunningham,106.0
Vinny Testaverde,101.6
Steve Young,101.1
Chris Chandler,100.9
John Elway,93.0
Neil O'Donnell,90.2
Mark Brunell,89.9
Troy Aikman,88.5
Steve Beuerlein,88.2
Brett Favre,87.8
Doug Flutie,87.4
Charlie Batch,83.5
Erik Kramer,83.1
Trent Green,81.8
Drew Bledsoe,80.9
Rich Gannon,80.1
Steve McNair,80.1
Dan Marino,80.0
Warren Moon,76.6
Jake Plummer,75.0
Trent Dilfer,74.0
Jim Harbaugh,72.9
Peyton Manning,71.2
Tony Banks,68.6
Danny Kanell,67.3
Kordell Stewart,62.9
Kerry Collins,62.0
Donald Hollas,60.6
Craig Whelihan,48.0
Bobby Hoying,45.6
Ryan Leaf,39.0
Kurt Warner,109.2
Steve Beuerlein,94.6
Jeff George,94.2
Peyton Manning,90.7
Brad Johnson,90.0
Rich Gannon,86.5
Ray Lucas,85.1
Charlie Batch,84.1
Gus Frerotte,83.6
Chris Chandler,83.5
Mark Brunell,82.0
Elvis Grbac,81.7
Tony Banks,81.2
Troy Aikman,81.1
Shane Matthews,80.6
Steve McNair,78.6
Jeff Garcia,77.9
Jon Kitna,77.7
Jeff Blake,77.6
Trent Dilfer,75.8
Mike Tomczak,75.8
Drew Bledsoe,75.6
Brian Griese,75.6
Doug Flutie,75.1
Brett Favre,74.7
Kent Graham,74.6
Kerry Collins,73.3
Tim Couch,73.2
Jim Harbaugh,70.6
Dan Marino,67.4
Cade McNown,66.7
Kordell Stewart,64.9
Doug Pederson,62.9
Billy Joe Tolliver,58.9
Jake Plummer,50.8
Brian Griese,102.9
Trent Green,101.8
Kurt Warner,98.3
Daunte Culpepper,98.0
Jeff Garcia,97.6
Peyton Manning,94.7
Rich Gannon,92.4
Elvis Grbac,89.9
Doug Flutie,86.5
Mark Brunell,84.0
Steve McNair,83.2
Kerry Collins,83.1
Jeff Blake,82.7
Rob Johnson,82.2
Gus Frerotte,82.1
Steve Beuerlein,79.7
Brett Favre,78.0
Donovan McNabb,77.8
Drew Bledsoe,77.3
Trent Dilfer,76.6
Shaun King,75.8
Brad Johnson,75.7
Jon Kitna,75.6
Jay Fiedler,74.5
Kordell Stewart,73.6
Chris Chandler,73.5
Tony Banks,69.3
Vinny Testaverde,69.0
Cade McNown,68.5
Charlie Batch,67.3
Jake Plummer,66.0
Troy Aikman,64.3
Ryan Leaf,56.2
Akili Smith,52.8
Kurt Warner,101.4
Rich Gannon,95.5
Jeff Garcia,94.8
Brett Favre,94.1
Steve McNair,90.2
Tom Brady,86.5
Donovan McNabb,84.3
Mark Brunell,84.1
Chris Chandler,84.1
Peyton Manning,84.1
Daunte Culpepper,83.3
Kordell Stewart,81.7
Jay Fiedler,80.3
Jake Plummer,79.6
Brian Griese,78.5
Brad Johnson,77.7
Kerry Collins,77.1
Charlie Batch,76.8
Aaron Brooks,76.4
Alex Van Pelt,76.4
Vinny Testaverde,75.3
Jim Miller,74.9
Tim Couch,73.1
Doug Flutie,72.0
Tony Banks,71.3
Elvis Grbac,71.1
Trent Green,71.1
Matt Hasselbeck,70.9
Chris Weinke,62.0
Jon Kitna,61.1
Chad Pennington,104.2
Rich Gannon,97.3
Brad Johnson,92.9
Trent Green,92.6
Peyton Manning,88.8
Matt Hasselbeck,87.8
Drew Bledsoe,86.0
Donovan McNabb,86.0
Tom Brady,85.7
Mark Brunell,85.7
Brett Favre,85.6
Jeff Garcia,85.6
Brian Griese,85.6
Kerry Collins,85.4
Jay Fiedler,85.2
Tommy Maddox,85.2
Steve McNair,84.0
Michael Vick,81.6
Aaron Brooks,80.1
Jon Kitna,79.1
Jim Miller,77.5
Rodney Peete,77.4
Jeff Blake,77.3
Drew Brees,76.9
Tim Couch,76.8
Daunte Culpepper,75.3
Shane Matthews,72.6
Patrick Ramsey,71.8
Chad Hutchinson,66.3
Jake Plummer,65.7
David Carr,62.8
Joey Harrington,59.9
Steve McNair,100.4
Peyton Manning,99.0
Daunte Culpepper,96.4
Trent Green,92.6
Jake Plummer,91.2
Brett Favre,90.4
Aaron Brooks,88.8
Matt Hasselbeck,88.8
Jon Kitna,87.4
Tom Brady,85.9
Chad Pennington,82.9
Brad Johnson,81.5
Marc Bulger,81.4
Jake Delhomme,80.6
Jeff Garcia,80.1
Donovan McNabb,79.6
Patrick Ramsey,75.8
Tommy Maddox,75.3
Kelly Holcomb,74.6
Rich Gannon,73.5
Drew Bledsoe,73.0
Byron Leftwich,73.0
Jay Fiedler,72.4
Quincy Carter,71.4
Kerry Collins,70.7
Jeff Blake,69.6
David Carr,69.5
Drew Brees,67.5
Doug Johnson,67.5
Joey Harrington,63.9
Kyle Boller,62.4
Kordell Stewart,56.8
Peyton Manning,121.1
Daunte Culpepper,110.9
Drew Brees,104.8
Donovan McNabb,104.7
Ben Roethlisberger,98.1
Brian Griese,97.5
Trent Green,95.2
Marc Bulger,93.7
Tom Brady,92.6
Brett Favre,92.4
Chad Pennington,91.0
Jake Delhomme,87.3
Billy Volek,87.1
Kurt Warner,86.5
Jake Plummer,84.5
David Carr,83.5
Matt Hasselbeck,83.1
Byron Leftwich,82.2
Aaron Brooks,79.5
Tim Rattay,78.1
Michael Vick,78.1
Joey Harrington,77.5
Carson Palmer,77.3
Jeff Garcia,76.7
Drew Bledsoe,76.6
Vinny Testaverde,76.4
Kerry Collins,74.8
Patrick Ramsey,74.8
Josh McCown,74.1
Kyle Boller,70.9
Mark Brunell,63.9
Ken Dorsey,62.4
A.J. Feeley,61.7
Peyton Manning,104.1
Carson Palmer,101.1
Ben Roethlisberger,98.6
Matt Hasselbeck,98.2
Marc Bulger,94.4
Tom Brady,92.3
Jake Plummer,90.2
Trent Green,90.1
Byron Leftwich,89.3
Drew Brees,89.2
Brad Johnson,88.9
Jake Delhomme,88.1
Mark Brunell,85.9
Kurt Warner,85.8
Kelly Holcomb,85.6
Donovan McNabb,85.0
Drew Bledsoe,83.7
Steve McNair,82.4
Chris Simms,81.4
Kerry Collins,77.3
David Carr,77.2
Trent Dilfer,76.9
Eli Manning,75.9
Josh McCown,74.9
Michael Vick,73.1
Brooks Bollinger,72.9
Joey Harrington,72.0
Gus Frerotte,71.9
Kyle Boller,71.8
Anthony Wright,71.7
Brett Favre,70.9
Aaron Brooks,70.0
J.P. Losman,64.9
Kyle Orton,59.7
Peyton Manning,101.0
Damon Huard,98.0
Drew Brees,96.2
Donovan McNabb,95.5
Tony Romo,95.1
Carson Palmer,93.9
Marc Bulger,92.9
Philip Rivers,92.0
Tom Brady,87.9
Mark Brunell,86.5
J.P. Losman,84.9
Jake Delhomme,82.6
Chad Pennington,82.6
Steve McNair,82.5
David Carr,82.1
David Garrard,80.5
Jon Kitna,79.9
Eli Manning,77.0
Matt Hasselbeck,76.0
Michael Vick,75.7
Ben Roethlisberger,75.4
Alex Smith,74.8
Matt Leinart,74.0
Rex Grossman,73.9
Brett Favre,72.7
Charlie Frye,72.0
Brad Johnson,72.0
Jake Plummer,68.8
Joey Harrington,68.2
Vince Young,66.7
Bruce Gradkowski,65.9
Andrew Walter,55.8
Tom Brady,117.2
Ben Roethlisberger,104.1
David Garrard,102.2
Peyton Manning,98.0
Tony Romo,97.4
Brett Favre,95.7
Jeff Garcia,94.6
Matt Hasselbeck,91.4
Donovan McNabb,89.9
Kurt Warner,89.8
Drew Brees,89.4
Jay Cutler,88.1
Matt Schaub,87.2
Carson Palmer,86.7
Chad Pennington,86.1
Sage Rosenfels,84.8
Derek Anderson,82.5
Philip Rivers,82.4
Jon Kitna,80.9
Jason Campbell,77.6
Joey Harrington,77.2
Damon Huard,76.8
Brian Griese,75.6
Kyle Boller,75.2
Eli Manning,73.9
Vince Young,71.1
Cleo Lemon,71.0
Tarvaris Jackson,70.8
Trent Edwards,70.4
Marc Bulger,70.3
Brodie Croyle,69.9
Rex Grossman,66.4
Kellen Clemens,60.9
Philip Rivers,105.5
Chad Pennington,97.4
Kurt Warner,96.9
Drew Brees,96.2
Peyton Manning,95.0
Aaron Rodgers,93.8
Matt Schaub,92.7
Tony Romo,91.4
Jeff Garcia,90.2
Matt Cassel,89.4
Matt Ryan,87.7
Shaun Hill,87.5
Seneca Wallace,87.0
Eli Manning,86.4
Donovan McNabb,86.4
Jay Cutler,86.0
Trent Edwards,85.4
Jake Delhomme,84.7
Jason Campbell,84.3
David Garrard,81.7
Brett Favre,81.0
Joe Flacco,80.3
Kerry Collins,80.2
Ben Roethlisberger,80.1
Kyle Orton,79.6
JaMarcus Russell,77.1
Tyler Thigpen,76.0
Gus Frerotte,73.7
Dan Orlovsky,72.6
Marc Bulger,71.4
Ryan Fitzpatrick,70.0
Derek Anderson,66.5
Drew Brees,109.6
Brett Favre,107.2
Philip Rivers,104.4
Aaron Rodgers,103.2
Ben Roethlisberger,100.5
Peyton Manning,99.9
Matt Schaub,98.6
Tony Romo,97.6
Tom Brady,96.2
Kurt Warner,93.2
Eli Manning,93.1
Donovan McNabb,92.9
Joe Flacco,88.9
Kyle Orton,86.8
Jason Campbell,86.4
Carson Palmer,83.6
David Garrard,83.5
Vince Young,82.8
Alex Smith,81.5
Matt Ryan,80.9
Jay Cutler,76.8
Chad Henne,75.2
Matt Hasselbeck,75.1
Marc Bulger,70.7
Matt Cassel,69.9
Ryan Fitzpatrick,69.7
Brady Quinn,67.2
Mark Sanchez,63.0
Matthew Stafford,61.0
Josh Freeman,59.8
Jake Delhomme,59.4
JaMarcus Russell,50.0
Tom Brady,111.0
Philip Rivers,101.8
Aaron Rodgers,101.2
Michael Vick,100.2
Ben Roethlisberger,97.0
Josh Freeman,95.9
Joe Flacco,93.6
Matt Cassel,93.0
Matt Schaub,92.0
Peyton Manning,91.9
Matt Ryan,91.0
Drew Brees,90.9
David Garrard,90.8
Jon Kitna,88.9
Kyle Orton,87.5
Jay Cutler,86.3
Eli Manning,85.3
Jason Campbell,84.5
Carson Palmer,82.4
Kerry Collins,82.2
Alex Smith,82.1
Ryan Fitzpatrick,81.8
Shaun Hill,81.3
Donovan McNabb,77.1
Sam Bradford,76.5
Chad Henne,75.4
Mark Sanchez,75.3
Matt Hasselbeck,73.2
Brett Favre,69.9
Derek Anderson,65.9
Jimmy Clausen,58.4
Aaron Rodgers,122.5
Drew Brees,110.6
Tom Brady,105.6
Tony Romo,102.5
Matthew Stafford,97.2
Matt Schaub,96.8
Eli Manning,92.9
Matt Ryan,92.2
Alex Smith,90.7
Ben Roethlisberger,90.1
Philip Rivers,88.7
Matt Moore,87.1
Jay Cutler,85.7
Michael Vick,84.9
Cam Newton,84.5
Matt Hasselbeck,82.4
Kevin Kolb,81.1
Joe Flacco,80.9
Carson Palmer,80.5
Andy Dalton,80.4
Tarvaris Jackson,79.2
Ryan Fitzpatrick,79.1
Mark Sanchez,78.2
Kyle Orton,77.8
Matt Cassel,76.6
Josh Freeman,74.6
Colt McCoy,74.6
Tim Tebow,72.9
Rex Grossman,72.4
Sam Bradford,70.5
Christian Ponder,70.1
John Skelton,68.9
Curtis Painter,66.6
Blaine Gabbert,65.4
Aaron Rodgers,108.0
Peyton Manning,105.8
Robert Griffin III,102.4
Russell Wilson,100.0
Matt Ryan,99.1
Tom Brady,98.7
Ben Roethlisberger,97.0
Drew Brees,96.3
Matt Schaub,90.7
Tony Romo,90.5
Philip Rivers,88.6
Joe Flacco,87.7
Andy Dalton,87.4
Eli Manning,87.2
Cam Newton,86.2
Carson Palmer,85.3
Ryan Fitzpatrick,83.3
Sam Bradford,82.6
Josh Freeman,81.6
Jay Cutler,81.3
Christian Ponder,81.2
Matthew Stafford,79.8
Nick Foles,79.1
Michael Vick,78.1
Blaine Gabbert,77.4
Andrew Luck,76.5
Ryan Tannehill,76.1
Jake Locker,74.0
Brandon Weeden,72.6
Chad Henne,72.2
Mark Sanchez,66.9
Matt Cassel,66.7
Nick Foles,119.2
Peyton Manning,115.1
Josh McCown,109.0
Philip Rivers,105.5
Aaron Rodgers,104.9
Drew Brees,104.7
Russell Wilson,101.2
Tony Romo,96.7
Ben Roethlisberger,92.0
Colin Kaepernick,91.6
Sam Bradford,90.9
Matt Ryan,89.6
Jay Cutler,89.2
Alex Smith,89.1
Andy Dalton,88.8
Cam Newton,88.8
Tom Brady,87.3
Andrew Luck,87.0
Matthew Stafford,84.2
Mike Glennon,83.9
Carson Palmer,83.9
Robert Griffin III,82.2
Ryan Fitzpatrick,82.0
Ryan Tannehill,81.7
Matt Cassel,81.6
Kellen Clemens,78.8
Case Keenum,78.2
Christian Ponder,77.9
E.J. Manuel,77.7
Jason Campbell,76.9
Chad Henne,76.5
Joe Flacco,73.1
Matt Schaub,73.0
Brandon Weeden,70.3
Eli Manning,69.4
Terrelle Pryor,69.1
Geno Smith,66.5
Tony Romo,113.2
Aaron Rodgers,112.2
Ben Roethlisberger,103.3
Peyton Manning,101.5
Tom Brady,97.4
Drew Brees,97.0
