Year,Rank,School
1986,1,Penn State
1986,2,Miami (FL)
1986,3,Oklahoma
1986,4,Arizona State
1986,5,Nebraska
1986,6,Auburn
1986,7,Ohio State
1986,8,Michigan
1986,9,Alabama
1986,10,LSU
1986,11,Arizona
1986,12,Baylor
1986,13,Texas A&M
1986,14,UCLA
1986,15,Arkansas
1986,16,Iowa
1986,17,Clemson
1986,18,Washington
1986,19,Boston College
1986,20,Virginia Tech
1987,1,Miami (FL)
1987,2,Florida State
1987,3,Oklahoma
1987,4,Syracuse
1987,5,LSU
1987,6,Nebraska
1987,7,Auburn
1987,8,Michigan State
1987,9,UCLA
1987,10,Texas A&M
1987,11,Oklahoma State
1987,12,Clemson
1987,13,Georgia
1987,14,Tennessee
1987,15,South Carolina
1987,16,Iowa
1987,17,Notre Dame
1987,18,USC
1987,19,Michigan
1987,20,Arizona State
1988,1,Notre Dame
1988,2,Miami (FL)
1988,3,Florida State
1988,4,Michigan
1988,5,West Virginia
1988,6,UCLA
1988,7,USC
1988,8,Auburn
1988,9,Clemson
1988,10,Nebraska
1988,11,Oklahoma State
1988,12,Arkansas
1988,13,Syracuse
1988,14,Oklahoma
1988,15,Georgia
1988,16,Washington State
1988,17,Alabama
1988,18,Houston
1988,19,LSU
1988,20,Indiana
1989,1,Miami (FL)
1989,2,Notre Dame
1989,3,Florida State
1989,4,Colorado
1989,5,Tennessee
1989,6,Auburn
1989,7,Michigan
1989,8,USC
1989,9,Alabama
1989,10,Illinois
1989,11,Nebraska
1989,12,Clemson
1989,13,Arkansas
1989,14,Houston
1989,15,Penn State
1989,16,Michigan State
1989,17,Pitt
1989,18,Virginia
1989,19,Texas Tech
1989,20,Texas A&M
1989,21,West Virginia
1989,22,Brigham Young
1989,23,Washington
1989,24,Ohio State
1989,25,Arizona
1990,1,Colorado
1990,2,Georgia Tech
1990,3,Miami (FL)
1990,4,Florida State
1990,5,Washington
1990,6,Notre Dame
1990,7,Michigan
1990,8,Tennessee
1990,9,Clemson
1990,10,Houston
1990,11,Penn State
1990,12,Texas
1990,13,Florida
1990,14,Louisville
1990,15,Texas A&M
1990,16,Michigan State
1990,17,Oklahoma
1990,18,Iowa
1990,19,Auburn
1990,20,USC
1990,21,Ole Miss
1990,22,Brigham Young
1990,23,Virginia
1990,24,Nebraska
1990,25,Illinois
1991,1,Miami (FL)
1991,2,Washington
1991,3,Penn State
1991,4,Florida State
1991,5,Alabama
1991,6,Michigan
1991,7,Florida
1991,8,California
1991,9,East Carolina
1991,10,Iowa
1991,11,Syracuse
1991,12,Texas A&M
1991,13,Notre Dame
1991,14,Tennessee
1991,15,Nebraska
1991,16,Oklahoma
1991,17,Georgia
1991,18,Clemson
1991,19,UCLA
1991,20,Colorado
1991,21,Tulsa
1991,22,Stanford
1991,23,Brigham Young
1991,24,North Carolina State
1991,25,Air Force
1992,1,Alabama
1992,2,Florida State
1992,3,Miami (FL)
1992,4,Notre Dame
1992,5,Michigan
1992,6,Syracuse
1992,7,Texas A&M
1992,8,Georgia
1992,9,Stanford
1992,10,Florida
1992,11,Washington
1992,12,Tennessee
1992,13,Colorado
1992,14,Nebraska
1992,15,Washington State
1992,16,Ole Miss
1992,17,North Carolina State
1992,18,Ohio State
1992,19,North Carolina
1992,20,Hawaii
1992,21,Boston College
1992,22,Kansas
